lulusan_id,mahasiswa_id,prodi_id,tanggal_lulus,ipk,lama_studi_bulan,status_pasca_lulus,nama_perusahaan,bidang_kerja,masa_tunggu_bulan,sumber_data,ingested_at
LLScbc0485d,2018TI47359,TI,2023-06-15,3.28,60,Bekerja,,Tidak Sesuai,14,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5e7eeff1,2020TM04296,TM,2025-12-25,3.54,62,Belum Bekerja,,Tidak Sesuai,5,Tracer Study,2026-05-13T19:21:14+07:00
LLS4c4c8010,2019TP04699,TP,2024-08-20,3.02,72,Bekerja,Huawei Indonesia,Tidak Sesuai,5,Tracer Study,2026-05-13T19:21:14+07:00
LLSd0891343,2019SK00502,SK,2023-12-30,3.35,54,Bekerja,UNDP Indonesia,Tidak Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSbab50aba,2022TG38525,TG,2026-01-01,2.9,64,Studi Lanjut,Chulalongkorn University,Sesuai,12,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS25414092,2023SI13137,SI,2027-01-01,3.81,47,Bekerja,Osaka University,Sesuai,14,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS24c8d318,2021FIS05007,FIS,2025-08-20,3.11,61,Wirausaha,Unila,Sesuai,15,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSd16d206f,2018TP30437,TP,2023-04-06,3.56,62,Belum Bekerja,,Sesuai,18,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS53cbd5d6,2021SI04450,SI,2025-08-11,3.21,48,Bekerja,Bank Indonesia,Sesuai,13,Tracer Study,2026-05-13T19:21:14+07:00
LLS02d87f40,2020TI37648,TI,2024-06-17,2.79,60,Belum Bekerja,World Bank Jakarta,Tidak Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLS83c2da93,2018TE30933,TE,2022-03-22,3.62,45,Bekerja,,Tidak Sesuai,9,Tracer Study,2026-05-13T19:21:14+07:00
LLSbda60ff8,2023TI12108,TI,2027-01-01,3.03,57,Bekerja,Bank Indonesia,Tidak Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLS8fae9a3a,2023KIM42360,KIM,2027-01-01,3.69,52,Bekerja,Unila,Sesuai,17,Tracer Study,2026-05-13T19:21:14+07:00
LLSa4bb9f66,2023AR36756,AR,2027-01-01,2.93,48,Belum Bekerja,World Bank Jakarta,Tidak Sesuai,14,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS72de377c,2023SI07081,SI,2027-01-01,3.82,57,Bekerja,,Sesuai,4,Tracer Study,2026-05-13T19:21:14+07:00
LLS35f18897,2019TLK06643,TLK,2023-04-17,3.39,67,Bekerja,Osaka University,Sesuai,12,Tracer Study,2026-05-13T19:21:14+07:00
LLS07ec12d0,2018BIO49578,BIO,2022-06-28,3.6,51,Belum Bekerja,IPB University,Tidak Sesuai,16,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS5b3cb13a,2019TK33234,TK,2023-04-26,2.86,60,Belum Bekerja,,Sesuai,10,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS72b68b05,2018IF23054,IF,2024-10-09,3.16,65,Bekerja,World Bank Jakarta,Tidak Sesuai,9,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS01e47e36,2022PWK42364,PWK,2026-01-01,2.78,50,Wirausaha,,Sesuai,0,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS7b11c111,2023GD29385,GD,2027-01-01,3.7,63,Bekerja,,Sesuai,10,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS70384706,2022KIM32785,KIM,2026-01-01,3.21,43,Belum Bekerja,BMKG,Tidak Sesuai,3,Tracer Study,2026-05-13T19:21:14+07:00
LLSd74fd43a,2020TG48678,TG,2024-07-05,2.87,68,Belum Bekerja,,Tidak Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS59489a9b,2018GD28626,GD,2024-10-17,3.08,71,Belum Bekerja,PT Pertamina,Tidak Sesuai,9,Tracer Study,2026-05-13T19:21:14+07:00
LLS3b3f56a5,2020PWK08431,PWK,2024-10-25,3.91,55,Bekerja,Universiti Malaya,Sesuai,7,Tracer Study,2026-05-13T19:21:14+07:00
LLSe2cec3e4,2019AG41831,AG,2023-12-27,2.88,55,Bekerja,,Tidak Sesuai,7,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS24e914c0,2021TI30012,TI,2025-11-07,3.76,71,Belum Bekerja,Unila,Tidak Sesuai,7,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS4b0b6db2,2020GL07300,GL,2024-12-04,3.07,49,Bekerja,,Sesuai,1,Tracer Study,2026-05-13T19:21:14+07:00
LLS1014da64,2019FT11076,FT,2024-10-02,2.99,44,Wirausaha,,Tidak Sesuai,8,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSabed418a,2022SI49927,SI,2026-01-01,3.02,68,Studi Lanjut,ITS,Sesuai,6,Tracer Study,2026-05-13T19:21:14+07:00
LLSb4f40aaa,2022MB16701,MB,2026-01-01,3.54,55,Belum Bekerja,Unsri,Sesuai,10,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSfd201722,2022TG46681,TG,2026-01-01,2.93,67,Bekerja,BRIN,Tidak Sesuai,15,Tracer Study,2026-05-13T19:21:14+07:00
LLS9344b22a,2020TM31783,TM,2024-02-12,3.91,70,Bekerja,BMKG,Sesuai,5,Tracer Study,2026-05-13T19:21:14+07:00
LLSab7724f4,2019FT05971,FT,2024-02-10,3.4,60,Wirausaha,,Sesuai,10,Tracer Study,2026-05-13T19:21:14+07:00
LLS28fae6a2,2020IF47818,IF,2025-05-11,3.02,45,Belum Bekerja,Huawei Indonesia,Sesuai,11,Tracer Study,2026-05-13T19:21:14+07:00
LLSe70867f8,2023SI23534,SI,2027-01-01,3.89,67,Wirausaha,PT Bukit Asam,Sesuai,5,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSb4a47b75,2021FIS30432,FIS,2025-03-10,3.49,58,Bekerja,Telkom University,Sesuai,16,Tracer Study,2026-05-13T19:21:14+07:00
LLSd5ec66b9,2020MTK45006,MTK,2025-02-12,3.27,65,Wirausaha,JICA Indonesia,Sesuai,6,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLSbb5a62d2,2018AR16732,AR,2024-07-02,3.02,63,Wirausaha,,Tidak Sesuai,18,Laporan Wisuda,2026-05-13T19:21:14+07:00
LLS65d76b44,2018AR15115,AR,2022-08-20,3.63,52,Bekerja,,Tidak Sesuai,11,Laporan Wisuda,2026-05-13T19:21:14+07:00
