mbkm_id,mahasiswa_id,prodi_id,jenis_mbkm,institusi_mitra,sks_diakui,tahun,semester,prestasi_nasional,ingested_at
MBKMdcd36aae,2021GD09681,GD,Wirausaha,JICA Indonesia,12,2023,Genap,False,2026-05-13T19:21:15+07:00
MBKMb5d1cf9f,2020AR43146,AR,Riset,JICA Indonesia,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM16a82087,2021FIS38255,FIS,Pertukaran,Huawei Indonesia,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKMbcfcb2cf,2024TP05277,TP,Pertukaran,ITS,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMb0141488,2024MB09838,MB,Proyek Kemanusiaan,NUS Singapore,22,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM63fe21e7,2024TM05540,TM,Riset,PT Bukit Asam,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMe81d55f8,2022FT17280,FT,KKN Tematik,IPB University,6,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM1c55f37f,2024FIS08571,FIS,Pertukaran,ITB,22,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKMa4ba2e1e,2023TL18195,TL,Riset,Unsri,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM48d801fd,2020FT03750,FT,Pertukaran,ITS,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMde0f915a,2024TLK49039,TLK,Magang,ITB,24,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM2b8f1f8c,2022TK17078,TK,Wirausaha,BPS Lampung,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMc65d3731,2022TL13277,TL,Proyek Kemanusiaan,ITB,12,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM03c74b5f,2021FT39565,FT,Riset,Kyushu University,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMeff01f27,2022TS22428,TS,Wirausaha,Unila,20,2025,Ganjil,False,2026-05-13T19:21:15+07:00
MBKMbdbad001,2024PWK29641,PWK,Proyek Kemanusiaan,PT PLN,6,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKM83592062,2022TL29487,TL,Proyek Kemanusiaan,Unila,6,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM46dd574f,2020FIS20281,FIS,Magang,PT Pertamina,12,2022,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM191a0f8e,2022SI13661,SI,Pertukaran,PT Pertamina,6,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKMe8019f6a,2021KIM38186,KIM,Pertukaran,JICA Indonesia,12,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM5e42e14f,2023FT33498,FT,Proyek Kemanusiaan,Telkom University,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM6c9eef38,2023IF32441,IF,Proyek Kemanusiaan,BMKG,22,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM94b5d43d,2020MB30748,MB,Magang,Politeknik Negeri Lampung,20,2025,Genap,True,2026-05-13T19:21:15+07:00
MBKM89fad095,2021FIS26735,FIS,Magang,TU Delft,22,2025,Genap,False,2026-05-13T19:21:15+07:00
MBKMc1d7a4fb,2021MB45744,MB,Magang,Universiti Malaya,20,2022,Genap,False,2026-05-13T19:21:15+07:00
MBKMc8a2c767,2020TLK25147,TLK,KKN Tematik,LIPI,24,2024,Genap,False,2026-05-13T19:21:15+07:00
MBKM35954451,2023TE27753,TE,Pertukaran,ITB,20,2024,Ganjil,False,2026-05-13T19:21:15+07:00
MBKM35a082a8,2024TL05577,TL,Wirausaha,Politeknik Negeri Lampung,12,2025,Ganjil,True,2026-05-13T19:21:15+07:00
