penelitian_id,judul,dosen_id,jurusan_id,tahun,skema,dana,topik,status_publikasi,rekognisi_internasional,diterapkan_masyarakat,ingested_at
PNL7bfb62c2,Penelitian Sustainable Energy - f66a12e7,0674021000,JTP,2024,Mandiri,250000000,Green Infrastructure,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNLad31b744,Penelitian Community Development - 1fbba423,0674021000,JTP,2025,Industri,25000000,Green Infrastructure,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNLbbd9bf0c,Penelitian Sustainable Energy - 9b210d6a,0956098001,JSA,2021,Dana ITERA,25000000,Green Infrastructure,Belum,False,False,2026-05-13T19:21:14+07:00
PNL9c736203,Penelitian Community Development - 579eba62,0552708002,JMB,2021,Mandiri,100000000,Innovative Industry,Jurnal Nasional,False,True,2026-05-13T19:21:14+07:00
PNL1b63a0df,Penelitian Community Development - 376bb7f3,0552708002,JMB,2020,Mandiri,250000000,Innovative Industry,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNL426d533b,Penelitian Green Infrastructure - 1ce63424,0162146003,JSA,2024,Mandiri,5000000,Community Development,Jurnal Internasional,False,True,2026-05-13T19:21:14+07:00
PNL89b0a215,Penelitian Sustainable Energy - 1d1cbaa0,0162146003,JSA,2021,Industri,100000000,Community Development,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNLed5807de,Penelitian Green Infrastructure - d1b9e138,0778203004,JTI,2020,Mandiri,250000000,Innovative Industry,Jurnal Internasional,False,False,2026-05-13T19:21:14+07:00
PNL942471f9,Penelitian Innovative Industry - cbec96e0,0778203004,JTI,2020,Hibah Dikti,250000000,Innovative Industry,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNLe04b87bf,Penelitian Sustainable Energy - 133e11d8,0778203004,JTI,2025,Hibah Dikti,10000000,Community Development,Jurnal Internasional,False,False,2026-05-13T19:21:14+07:00
PNL40532bec,Penelitian Community Development - fc342d08,0865094005,JSA,2025,Mandiri,5000000,Community Development,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNLc6360efd,Penelitian Green Infrastructure - 06e215ca,0864868006,JTK,2020,Hibah Dikti,25000000,Innovative Industry,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNLcf291b57,Penelitian Innovative Industry - 9955e040,0864868006,JTK,2020,Mandiri,10000000,Sustainable Energy,Jurnal Internasional,False,False,2026-05-13T19:21:14+07:00
PNL855364bc,Penelitian Sustainable Energy - 4803f757,0864868006,JTK,2023,Industri,50000000,Innovative Industry,Belum,True,False,2026-05-13T19:21:14+07:00
PNL07276671,Penelitian Innovative Industry - 1d8efbb3,0864868006,JTK,2025,Mandiri,100000000,Innovative Industry,Jurnal Internasional,False,True,2026-05-13T19:21:14+07:00
PNLc3e9a59a,Penelitian Sustainable Energy - 3aad7d4e,0406705007,JSA,2022,Industri,50000000,Community Development,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNL41c1d967,Penelitian Innovative Industry - de8aaedc,0406705007,JSA,2025,Industri,250000000,Community Development,Jurnal Internasional,True,False,2026-05-13T19:21:14+07:00
PNL62fe5074,Penelitian Sustainable Energy - 0994de8a,0983330008,JSA,2024,Dana ITERA,250000000,Innovative Industry,Belum,False,False,2026-05-13T19:21:14+07:00
PNL8c67ac20,Penelitian Sustainable Energy - f5787ac3,0983330008,JSA,2020,Industri,50000000,Innovative Industry,Belum,False,False,2026-05-13T19:21:14+07:00
PNL84734448,Penelitian Sustainable Energy - 3ed4effa,0983330008,JSA,2022,Hibah Dikti,25000000,Innovative Industry,Jurnal Nasional,True,True,2026-05-13T19:21:14+07:00
PNL1ee76bbb,Penelitian Green Infrastructure - 9f2ef818,0983330008,JSA,2025,Industri,10000000,Innovative Industry,Jurnal Nasional,False,True,2026-05-13T19:21:14+07:00
PNLb7e93a9f,Penelitian Innovative Industry - 8087c684,0205194009,JSA,2022,Industri,5000000,Green Infrastructure,Jurnal Internasional,False,False,2026-05-13T19:21:14+07:00
PNL84e4c34b,Penelitian Green Infrastructure - 4baee7ef,0205194009,JSA,2020,Mandiri,50000000,Sustainable Energy,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNL7c93b668,Penelitian Green Infrastructure - f745ab1f,0205194009,JSA,2020,Hibah Dikti,10000000,Green Infrastructure,Jurnal Nasional,False,False,2026-05-13T19:21:14+07:00
PNL1ca0cbaa,Penelitian Sustainable Energy - 5bd4db40,0618414010,JTK,2023,Hibah Dikti,250000000,Community Development,Jurnal Internasional,False,False,2026-05-13T19:21:14+07:00
PNL63a076ef,Penelitian Sustainable Energy - 6b0d7e33,0864073011,JTP,2021,Hibah Dikti,50000000,Sustainable Energy,Belum,False,False,2026-05-13T19:21:14+07:00
PNL442b6034,Penelitian Innovative Industry - 04bc0f7e,0864073011,JTP,2025,Industri,250000000,Innovative Industry,Belum,False,True,2026-05-13T19:21:14+07:00
PNL13feb667,Penelitian Community Development - cf4b41b3,0801920012,JSA,2023,Dana ITERA,50000000,Green Infrastructure,Belum,False,False,2026-05-13T19:21:14+07:00
