pkm_id,judul,dosen_id,jurusan_id,tahun,dana,lokasi,rekognisi_internasional,diterapkan_masyarakat,ingested_at
PKM05300bd9,Pengabdian Sustainable Energy - 459d1503,0674021000,JTP,2020,3000000,Lampung Selatan,False,True,2026-05-13T19:21:14+07:00
PKM736b0470,Pengabdian Green Infrastructure - ed11a560,0674021000,JTP,2025,25000000,Pringsewu,False,False,2026-05-13T19:21:14+07:00
PKM5fb565fe,Pengabdian Innovative Industry - 6bb4189d,0956098001,JSA,2023,25000000,Bandar Lampung,False,True,2026-05-13T19:21:14+07:00
PKM79c70167,Pengabdian Sustainable Energy - 592a2844,0956098001,JSA,2022,25000000,Pringsewu,True,True,2026-05-13T19:21:14+07:00
PKM1d5d9cf0,Pengabdian Community Development - 6a9729db,0956098001,JSA,2023,25000000,Pesisir Barat,False,False,2026-05-13T19:21:14+07:00
PKMb00c2c78,Pengabdian Green Infrastructure - 78edf5a4,0552708002,JMB,2021,3000000,Lampung Barat,True,True,2026-05-13T19:21:14+07:00
PKM961e449b,Pengabdian Innovative Industry - a4bfd415,0552708002,JMB,2023,50000000,Pringsewu,False,True,2026-05-13T19:21:14+07:00
PKM8e2ee132,Pengabdian Sustainable Energy - a25e4739,0865094005,JSA,2024,10000000,Tulang Bawang,False,False,2026-05-13T19:21:14+07:00
PKM69fe4a33,Pengabdian Green Infrastructure - 5e6b8370,0865094005,JSA,2022,5000000,Metro,False,False,2026-05-13T19:21:14+07:00
PKM1b35d166,Pengabdian Community Development - 8b1c899b,0864868006,JTK,2025,5000000,Tulang Bawang,False,False,2026-05-13T19:21:14+07:00
PKM4ec798bd,Pengabdian Community Development - 620b1e7b,0983330008,JSA,2021,3000000,Way Kanan,False,True,2026-05-13T19:21:14+07:00
PKMbd73737c,Pengabdian Sustainable Energy - 8a1220f6,0983330008,JSA,2021,10000000,Lampung Timur,False,True,2026-05-13T19:21:14+07:00
PKMf0504c03,Pengabdian Green Infrastructure - 9d704bb2,0864073011,JTP,2024,25000000,Pringsewu,False,True,2026-05-13T19:21:14+07:00
PKM424dbe9b,Pengabdian Innovative Industry - 76eb6196,0801920012,JSA,2022,3000000,Lampung Timur,False,True,2026-05-13T19:21:14+07:00
PKM85a462bc,Pengabdian Innovative Industry - c7d65d9d,0338301013,JTI,2021,50000000,Tulang Bawang,False,False,2026-05-13T19:21:14+07:00
