prestasi_id,mahasiswa_id,nama_kompetisi,bidang,tingkat,peringkat,tahun,dosen_pembina_id,ingested_at
PRS9b51d6e0,2024TS33273,Smart City Competition,Olahraga,Institusi,Juara 2,2023,0527870414,2026-05-13T19:21:15+07:00
PRS557f3a5c,2021TS47891,Geospatial Hackathon,Olahraga,Institusi,Juara 3,2023,0764428241,2026-05-13T19:21:15+07:00
PRS5b8b1107,2025TP39989,Data Science Challenge,Riset,Internasional,Juara 1,2025,,2026-05-13T19:21:15+07:00
PRSc7125fdb,2019TI14931,Imagine Cup,Desain,Regional,Finalis,2021,0497339546,2026-05-13T19:21:15+07:00
PRS2ee9da5e,2021TG34703,Imagine Cup,Desain,Institusi,Juara 1,2024,,2026-05-13T19:21:15+07:00
PRS46f12537,2022FT48549,ONMIPA,Riset,Regional,Juara 2,2024,,2026-05-13T19:21:15+07:00
PRS4fd96608,2021SI11168,National Bridge Competition,Debat,Nasional,Juara 3,2023,0592439330,2026-05-13T19:21:15+07:00
PRSd634fd36,2024TG11534,IoT Hackathon,Teknologi,Institusi,Juara 1,2020,0404862156,2026-05-13T19:21:15+07:00
PRS39cce89c,2018AR46458,LKTIN Nasional,Teknologi,Nasional,Juara 1,2024,0235902640,2026-05-13T19:21:15+07:00
PRS523ada20,2024TLK28791,ONMIPA,Riset,Internasional,Juara 3,2021,0881198517,2026-05-13T19:21:15+07:00
PRSdd7d3dbd,2025FT41478,ACM ICPC Regional,Seni,Internasional,Finalis,2022,0228954209,2026-05-13T19:21:15+07:00
PRSbf940c1f,2024TS40910,PKM Dikti,Teknologi,Nasional,Juara 2,2025,0501081373,2026-05-13T19:21:15+07:00
PRS693e2b25,2024SI27200,Smart City Competition,Teknologi,Regional,Juara 1,2023,0749689324,2026-05-13T19:21:15+07:00
PRSa35f7568,2024TM03572,Smart City Competition,Riset,Regional,Juara 1,2025,,2026-05-13T19:21:15+07:00
PRS876ee755,2022TE10104,Imagine Cup,Teknologi,Institusi,Finalis,2024,,2026-05-13T19:21:15+07:00
PRS8120cee2,2019AG25038,Smart City Competition,Riset,Internasional,Juara 2,2022,0838885574,2026-05-13T19:21:15+07:00
PRSa417cea9,2024SI12434,IoT Hackathon,Teknologi,Internasional,Juara 1,2022,,2026-05-13T19:21:15+07:00
PRS9fcb7485,2021GD07964,Pilmapres,Debat,Institusi,Juara 2,2023,0326238515,2026-05-13T19:21:15+07:00
PRSf6ae69bc,2020TP45898,Imagine Cup,Teknologi,Internasional,Juara 1,2022,0530384301,2026-05-13T19:21:15+07:00
PRSff0aa780,2024TP05277,ONMIPA,Olahraga,Regional,Juara 1,2021,,2026-05-13T19:21:15+07:00
PRS9978fabc,2019TP15957,PKM Dikti,Desain,Internasional,Finalis,2025,,2026-05-13T19:21:15+07:00
PRS9b0cb13e,2020TL20029,Smart City Competition,Desain,Internasional,Juara 2,2025,0203672215,2026-05-13T19:21:15+07:00
PRSe3ed219c,2020GD39223,PKM Dikti,Debat,Institusi,Juara 1,2024,0652685078,2026-05-13T19:21:15+07:00
PRS09991f6d,2022IF13469,ACM ICPC Regional,Debat,Nasional,Juara 3,2022,0222916488,2026-05-13T19:21:15+07:00
PRS83f13d1b,2020GD16673,Pilmapres,Seni,Institusi,Finalis,2025,0903347261,2026-05-13T19:21:15+07:00
PRS72cc3a22,2018TG45097,IoT Hackathon,Teknologi,Regional,Juara 1,2024,0826805599,2026-05-13T19:21:15+07:00
PRS4cbc301f,2024TG01295,ACM ICPC Regional,Seni,Regional,Juara 2,2022,0228144531,2026-05-13T19:21:15+07:00
PRS74210804,2024TE18568,IoT Hackathon,Seni,Nasional,Finalis,2021,0146503284,2026-05-13T19:21:15+07:00
PRS519047c7,2022IF23312,Electric Vehicle Competition,Desain,Institusi,Juara 1,2023,,2026-05-13T19:21:15+07:00
PRS398b6a4b,2022TLK26310,ONMIPA,Teknologi,Regional,Juara 1,2024,,2026-05-13T19:21:15+07:00
PRS037251d8,2025SK28430,Kontes Robot Indonesia,Olahraga,Regional,Juara 1,2023,0525312538,2026-05-13T19:21:15+07:00
PRS5ae887b4,2019TL03857,IoT Hackathon,Olahraga,Institusi,Juara 1,2023,0432875046,2026-05-13T19:21:15+07:00
PRS460bc9db,2018TE22055,ONMIPA,Riset,Institusi,Finalis,2025,0738651418,2026-05-13T19:21:15+07:00
PRS8f3f162e,2024MB15105,ONMIPA,Riset,Nasional,Juara 2,2025,0599195562,2026-05-13T19:21:15+07:00
PRS9cdf21e6,2025TS16749,IoT Hackathon,Riset,Nasional,Juara 3,2022,,2026-05-13T19:21:15+07:00
PRSde0995de,2019TI15972,Kontes Robot Indonesia,Teknologi,Nasional,Juara 2,2023,0203672215,2026-05-13T19:21:15+07:00
PRS299910f2,2018TS42298,Electric Vehicle Competition,Desain,Internasional,Finalis,2024,0717596165,2026-05-13T19:21:15+07:00
PRS63f698a2,2023GD42857,Smart City Competition,Seni,Institusi,Juara 2,2020,,2026-05-13T19:21:15+07:00
PRS015e9642,2025TE34185,Pilmapres,Desain,Institusi,Juara 2,2023,0981066043,2026-05-13T19:21:15+07:00
PRSa917e166,2020FT47986,Shell Eco-Marathon,Riset,Regional,Juara 3,2024,0746558473,2026-05-13T19:21:15+07:00
